"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place-wondl","","Wonderland Station","","42.41342","-70.991648","","",1,""
"1","1","Washington St opp Ruggles St",,"42.330971","-71.082748",,,,
"10","10","Theo Glynn Way @ Newmarket Sq",,"42.330883","-71.06842",,,,
"100","100","Massachusetts Ave @ Front St",,"42.361904","-71.097649",,,,
"10000","10000","Tremont St opp Winter St",,"42.35639457","-71.0624242",,,,"place-pktrm"
"10003","10003","Albany St opp Randall St",,"42.331604","-71.076233",,,,
"10004","10004","Albany St opp Northampton St",,"42.332752","-71.074402",,,,
"10005","10005","Albany St opp E Concord St",,"42.33503","-71.071281",,,,
"10006","10006","Albany St opp E Newton St",,"42.335827","-71.070137",,,,
"10007","10007","540 Albany St opp Wareham St",,"42.338387","-71.066551",,,,
"10008","10008","Albany St opp Randolph St",,"42.340424","-71.063774",,,,
"10009","10009","High St @ Duck Lane",,"42.214886","-70.915894",,,,
"1001","1001","Newton St @ Arlington Rd",,"42.307674","-71.169518",,,,
"10010","10010","Southampton St @ Newmarket St",,"42.330959","-71.064621",,,,
"10011","10011","Albany St @ Randolph St",,"42.340485","-71.063873",,,,
"10012","10012","Albany St @ Wareham St",,"42.338375","-71.066666",,,,
"10013","10013","Albany St @  E Dedham St",,"42.33757","-71.067871",,,,
"10014","10014","Albany St opp Boston Medical",,"42.334354","-71.07222",,,,
"10015","10015","Harrison Ave @ E Newton St",,"42.337414","-71.072159",,,,
"10016","10016","TradeCenter 128",,"42.499176","-71.161682",,,,
"1003","1003","Firehouse @ Long Island",,"42.324341","-70.963371",,,,
"10031","10031","E 1st St @ P St",,"42.338322","-71.02713",,,,
"10032","10032","E 1st St opp O St",,"42.338287","-71.029205",,,,
"10033","10033","E 1st St @ O St",,"42.338188","-71.029442",,,,
"10099","10099","Albany St @ Northampton St",,"42.333035","-71.074226",,,,
"101","101","Massachusetts Ave @ Main St",,"42.36367","-71.100594",,,,
"10100","10100","Albany St @ Melnea Cass Blvd",,"42.331314","-71.076889",,,,
"10101","10101","Melnea Cass Blvd @ Harrison Ave",,"42.332043","-71.079239",,,,
"10134","10134","Massachusetts Ave @ NStar",,"42.324875","-71.065376",,,,
"102","102","Massachusetts Ave @ Prospect St",,"42.365486","-71.103802",,,,"place-cntsq"
"1026","1026","Chestnut Hill Ave @ Veronica Smith Ctr",,"42.347706","-71.153923",,,,
"1027","1027","Chestnut Hill Ave @ Englewood Ave",,"42.337143","-71.152069",,,,
"1028","1028","Chestnut Hill Ave @ Commonwealth Ave",,"42.338001","-71.153061",,,,
"1029","1029","Chestnut Hill Ave @ Commonwealth Ave",,"42.338326","-71.15345",,,,
"1030","1030","Chestnut Hill Ave @ Strathmore Rd",,"42.340298","-71.155258",,,,
"1031","1031","Chestnut Hill Ave @ Chiswick Rd",,"42.34111","-71.154739",,,,
"1032","1032","Chestnut Hill Ave opp Wiltshire Rd",,"42.343079","-71.153465",,,,
"1033","1033","Chestnut Hill Ave @ Wallingford Rd",,"42.34462","-71.153221",,,,
"1034","1034","Chestnut Hill Ave @ Union St",,"42.346138","-71.152992",,,,
"1035","1035","Market St @ Washington St",,"42.349274","-71.153305",,,,
"1036","1036","Market St @ Sparhawk St",,"42.35154","-71.151917",,,,
"1037","1037","Market St @ Morrow Rd",,"42.353786","-71.150528",,,,
"1038","1038","Market St @ Cypress Rd",,"42.354568","-71.150024",,,,
"1039","1039","Market St @ N Beacon St",,"42.356049","-71.149078",,,,
"104","104","Massachusetts Ave @ Bigelow St",,"42.366997","-71.106178",,,,
"1040","1040","Market St @ Guest St",,"42.357327","-71.148285",,,,
"1041","1041","Market St @ Centola St",,"42.359352","-71.147026",,,,
"10413","10413","Columbus Ave @ Weld  Ave",,"42.315037","-71.097748",,,,
"10417","10417","American Legion Hwy @ Blue Hill Ave",,"42.298241","-71.087204",,,,
"10418","10418","American Legion Hwy opp Franklin Hill Ave",,"42.295841","-71.092506",,,,
"10419","10419","American Legion Hwy @ Canterbury St",,"42.285946","-71.109848",,,,
"1042","1042","Market St @ Lothrop St",,"42.360287","-71.146469",,,,
"10420","10420","opp 150 American Legion Hwy",,"42.294762","-71.0933",,,,
"10421","10421","American Legion Hwy @ Walk Hill St",,"42.287701","-71.106949",,,,
"10422","10422","American Legion Hwy opp Shopping Center",,"42.284775","-71.111694",,,,
"10423","10423","American Legion Hwy @ Stella Rd",,"42.280766","-71.116249",,,,
"10424","10424","American Legion Hwy @ Cummins Hwy",,"42.278488","-71.116638",,,,
"10425","10425","American Legion Hwy opp Shopping Mall",,"42.274349","-71.116707",,,,
"10426","10426","American Legion Hwy @ Army Reserve",,"42.28426","-71.112434",,,,
"10427","10427","American Legion Hwy opp Kingbird Rd",,"42.29327","-71.094589",,,,
"1043","1043","Western Ave @ Mackin St",,"42.361572","-71.145096",,,,
"1044","1044","Western Ave @ Richardson St",,"42.361912","-71.14328",,,,
"1045","1045","450 Western Ave",,"42.362179","-71.141785",,,,
"1046","1046","Western Ave @ Litchfield St",,"42.362545","-71.139786",,,,
"1047","1047","Western Ave @ Star Market",,"42.36274","-71.13842",,,,
"1048","1048","382 Western Ave",,"42.362846","-71.137558",,,,
"1049","1049","Western Ave @ Everett St",,"42.363106","-71.135445",,,,
"105","105","Massachusetts Ave @ Clinton St",,"42.367432","-71.106842",,,,
"1050","1050","Western Ave @ N Harvard st",,"42.363171","-71.129539",,,,
"1051","1051","156 Western Ave",,"42.363342","-71.127388",,,,
"1052","1052","130 Western Ave - WGBH TV 2",,"42.363541","-71.125038",,,,
"10522","10522","Circuit Dr @ Glen Ln",,"42.302158","-71.087418",,,,
"1053","1053","60 Western Ave",,"42.363735","-71.122665",,,,
"10540","10540","Morton St @ Evans St",,"42.280899","-71.084656",,,,
"1055","1055","River St opp Blackstone St",,"42.361927","-71.11438",,,,
"1056","1056","River St @ Fairmount St",,"42.362579","-71.112389",,,,
"10569","10569","2165 Dorchester Ave",,"42.276299","-71.067024",,,,
"1058","1058","River St @ Pleasant St",,"42.363865","-71.108582",,,,
"10582","10582","River St opp Fremont St",,"42.269997","-71.089867",,,,
"10590","10590","Massachusetts Ave @ Washington St",,"42.336487","-71.076813",,,,
"106","106","Massachusetts Ave @ Hancock St",,"42.368404","-71.108612",,,,
"1060","1060","Magazine St @ Green St",,"42.364914","-71.104614",,,,
"10603","10603","Washington St @ Durnell Ave",,"42.282299","-71.132668",,,,
"1061","1061","Western Ave @ Kinnaird St",,"42.364964","-71.108902",,,,
"10612","10612","Washington St opp W Boundary Rd",,"42.268051","-71.149849",,,,
"10618","10618","Washington St @ Sumner St",,"42.256413","-71.163231",,,,
"1062","1062","Western Ave @ Howard St",,"42.364811","-71.110649",,,,
"10625","10625","Washington St opp Heron St",,"42.268845","-71.148552",,,,
"1063","1063","Western Ave @ Dodge St",,"42.364689","-71.112175",,,,
"10633","10633","Washington St @ Rosecliff St",,"42.282101","-71.132729",,,,
"1064","1064","Western Ave @ Putnam Ave",,"42.364506","-71.114113",,,,
"10642","10642","Forest Hills Station Upper Busway",,"42.300523","-71.113686",,,,"place-forhl"
"1067","1067","Western Ave opp Genzyme",,"42.363857","-71.122307",,,,
"1068","1068","125 Western Ave - WGBH TV 2",,"42.363667","-71.124626",,,,
"1069","1069","Western Ave @ Stadium Way",,"42.36343","-71.127487",,,,
"107","107","Massachusetts Ave @ Dana St",,"42.369274","-71.110771",,,,
"1070","1070","Western Ave @ N Harvard St",,"42.363297","-71.129143",,,,
"1071","1071","Western Ave opp Riverdale St",,"42.363266","-71.13208",,,,
"1072","1072","Western Ave @ Everett St",,"42.363194","-71.135544",,,,
"1074","1074","367 Western Ave opp Brighton Mills Mall",,"42.36282","-71.138519",,,,
"1075","1075","Western Ave opp Litchfield St",,"42.362675","-71.139572",,,,
"1076","1076","445 Western Ave",,"42.362354","-71.141357",,,,
"10768","10768","Centre St @ Grove St",,"42.268776","-71.16185",,,,
"10769","10769","Centre St @ Grove St",,"42.268871","-71.161789",,,,
"1077","1077","Western Ave opp Richardson St",,"42.361984","-71.143387",,,,
"10777","10777","Spring St @ Cass St",,"42.277184","-71.164192",,,,
"1078","1078","Western Ave @ Soldiers Field Rd",,"42.361652","-71.145203",,,,
"1079","1079","Market St @ Birmingham Pkwy",,"42.35709","-71.148575",,,,
"108","108","Massachusetts Ave @ Trowbridge St",,"42.370285","-71.112999",,,,
"1080","1080","Market St @ N Beacon St",,"42.356251","-71.149086",,,,
"1081","1081","Market St opp Faneuil St",,"42.3549","-71.149963",,,,
"1082","1082","Market St. opp. Mapleton St.",,"42.352654","-71.151367",,,,
"10820","10820","Veterans Hospital West Roxbury",,"42.273422","-71.173065",,,,
"10821","10821","Charles Park Rd @ VFW Pkwy",,"42.27684","-71.172523",,,,
"1083","1083","Market St @ Arlington St",,"42.351524","-71.152061",,,,
"10830","10830","5 Charles Park Rd",,"42.276943","-71.172562",,,,
"10832","10832","Dedham Mall",,"42.254734","-71.166901",,,,
"10833","10833","Dedham Mall @ Stop & Shop",,"42.257576","-71.167763",,,,
"1084","1084","Market St @ Washington St",,"42.349236","-71.153442",,,,
"1085","1085","Chestnut Hill Ave @ Academy Hill Rd",,"42.347103","-71.153748",,,,
"1086","1086","Chestnut Hill Ave @ Jackson Ave",,"42.344753","-71.15329",,,,
"1087","1087","Chestnut Hill Ave @ Wiltshire Rd",,"42.343063","-71.15361",,,,
"1088","1088","Chestnut Hill Ave @ Embassy Rd",,"42.34145","-71.154686",,,,
"1089","1089","Chestnut Hill Ave @ South St",,"42.3405","-71.155289",,,,
"109","109","Massachusetts Ave @ Quincy St",,"42.372208","-71.115463",,,,
"1090","1090","Chestnut Hill Ave @ Commonwealth Ave",,"42.338345","-71.153702",,,,
"1092","1092","Chestnut Hill Ave @ Beacon St",,"42.336235","-71.151108",,,,
"10923","10923","Cummins Hwy @ Wood Ave",,"42.274212","-71.109131",,,,
"1093","1093","Faneuil St @ Brackett St",,"42.351898","-71.165199",,,,
"1094","1094","Faneuil St @ Fairbanks St",,"42.352379","-71.16301",,,,
"1095","1095","Faneuil St @ Oakland St",,"42.352615","-71.160683",,,,
"1096","1096","Faneuil St opp Bothwell Rd",,"42.353046","-71.159546",,,,
"1097","1097","Faneuil St @ Hobart St",,"42.353985","-71.158134",,,,
"1098","1098","Hobart St @ Falkland St",,"42.35487","-71.158562",,,,
"11","11","Melnea Cass Blvd @ Kerr Way",,"42.334778","-71.084457",,,,
"110","110","Massachusetts Ave @ Holyoke St - Holyoke Gate",,"42.373362","-71.118956",,,,"place-harsq"
"1100","1100","Hobart St @ Brooks St",,"42.355553","-71.16243",,,,
"1102","1102","N Beacon St @ Parsons St",,"42.358311","-71.157997",,,,
"1103","1103","N Beacon St @ Goodenough St",,"42.357365","-71.153793",,,,
"1104","1104","N Beacon St opp Vineland St",,"42.357014","-71.152802",,,,
"1107","1107","N Beacon St @ Etna St",,"42.355328","-71.146248",,,,
"11070","11070","Life St @ Guest St",,"42.357021","-71.145699",,,,
"11071","11071","Arthur St @ Guest St - Stop & Shop",,"42.356789","-71.140549",,,,
"1108","1108","Chestnut Hill Ave opp Veronica Smith Ctr",,"42.347633","-71.15403",,,,
"1109","1109","N Beacon St @ Saunders St",,"42.35413","-71.14151",,,,
"111","111","Mt Vernon St @ South Point Dr",,"42.317196","-71.040237",,,,
"1110","1110","N Beacon St @ Cambridge St",,"42.353596","-71.138168",,,,
"1111","1111","Cambridge St @ Craftsman St",,"42.353943","-71.13636",,,,
"11111","11111","UMass Boston Busway",,"42.315453","-71.040787",,,,
"1112","1112","Cambridge St @ Harvard Ave",,"42.355381","-71.132935",,,,
"1113","1113","Cambridge St @ Linden St",,"42.355961","-71.131454",,,,
"11131","11131","Centre St @ Roseway",,"42.319008","-71.111931",,,,
"11134","11134","Paul Gore St @ St Peter St",,"42.319267","-71.107582",,,,
"1114","1114","Cambridge St @ N Harvard St",,"42.357773","-71.126503",,,,
"11148","11148","Malcolm X Blvd @ Madison Park HS",,"42.331154","-71.090057",,,,
"11149","11149","Malcolm X Blvd @ O'Bryant HS",,"42.330715","-71.088348",,,,
"1115","1115","Cambridge St @ Seattle St",,"42.358742","-71.124016",,,,
"11158","11158"," Harrison Ave  @ E Brookline St",,"42.338406","-71.070915",,,,
"1116","1116","Cambridge St @ Mass Pike Exit",,"42.360653","-71.118546",,,,
"11164","11164","Centre St @ Burroughs St",,"42.311481","-71.114502",,,,
"1117","1117","Putnam Ave @ Allston St",,"42.361725","-71.113533",,,,
"1118","1118","Magazine St @ Putnam Ave",,"42.359211","-71.110886",,,,
"11187","11187","Washington St @ School St",,"42.314709","-71.099457",,,,
"1119","1119","Magazine St @ Erie St",,"42.360992","-71.10891",,,,
"1120","1120","Magazine St @ McTernan Way",,"42.3615","-71.108368",,,,
"11200","11200","Canal St @ Causeway St",,"42.365353","-71.061073",,,,
"1121","1121","Magazine St @ Perry St",,"42.362358","-71.107445",,,,
"11218","11218","Congress St @ A St",,"42.350449","-71.048492",,,,
"11219","11219","A St. @ Necco Ct.",,"42.348862","-71.049629",,,,
"1122","1122","Magazine St @ Auburn St",,"42.36388","-71.105728",,,,
"11228","11228","Tremont St @ Lenox St",,"42.337795","-71.083038",,,,
"1123","1123","Green St @ Magazine St",,"42.36499","-71.104454",,,,
"11241","11241","South Bay Mall @ Target",,"42.330456","-71.063347",,,,
"11242","11242","South Bay Mall @ Office Max",,"42.32793","-71.063416",,,,
"11245","11245","Tremont St @ Berkeley St",,"42.345478","-71.069801",,,,
"11257","11257","Malcolm X Blvd @ King St",,"42.331223","-71.092697",,,,
"11259","11259","Malcolm X Blvd @ Shawmut Ave",,"42.329502","-71.086197",,,,
"1127","1127","Dudley St @ Shirley St",,"42.323093","-71.073212",,,,
"1128","1128","South St @ Centre St",,"42.309761","-71.115349",,,,
"11280","11280","Dudley St opp Shirley St",,"42.322987","-71.073265",,,,
"1129","1129","Centre St @ Seaverns Ave",,"42.31221","-71.114143",,,,
"113","113","Causeway St @ Canal St",,"42.365577","-71.06129",,,,"place-north"
"1130","1130","Centre St @ Lester Pl",,"42.313801","-71.114044",,,,
"11302","11302","Harvard St @ Verndale St",,"42.348579","-71.129623",,,,
"1131","1131","Centre St @ Parley Ave",,"42.3153","-71.114029",,,,
"11317","11317","Huntington Ave @ Tremont St - Brigham Circle",,"42.334103","-71.104424",,,,
"11319","11319","W Second St opp W Third St",,"42.34306","-71.055038",,,,
"1132","1132","Centre St @ Robinwood Ave",,"42.31699","-71.113358",,,,
"11320","11320","Tremont St @ Carmel St",,"42.332474","-71.100151",,,,
"11323","11323","Malcolm X Blvd opp O'Bryant HS",,"42.330605","-71.088326",,,,
"1134","1134","Centre St @ Paul Gore St",,"42.320869","-71.11055",,,,
"1135","1135","Centre St @ Sheridan St",,"42.322178","-71.109039",,,,
"1136","1136","Centre St @ Wyman St",,"42.322472","-71.106964",,,,
"11366","11366","Pearl St @ Washington St",,"42.331947","-71.116287",,,,
"1137","1137","Centre St @ Mozart St",,"42.322697","-71.10466",,,,
"1138","1138","Centre St @ Estrella St",,"42.322868","-71.102974",,,,
"11384","11384","Dartmouth St @ Back Bay Sta",,"42.34735","-71.075727",,,,"place-bbsta"
"11388","11388","Huntington Ave @ Belvidere St",,"42.345356","-71.082047",,,,
"1139","1139","Mt Vernon St opp Harbor Point Blvd",,"42.318462","-71.044235",,,,
"11390","11390"," Dalton St @ Boylston St",,"42.347794","-71.085472",,,,
"11391","11391","Boylston St @ Massachusetts Ave",,"42.347401","-71.087494",,,,
"114","114","Causeway St. @ North Station",,"42.365577","-71.06129",,,,"place-north"
"1140","1140","Centre St @ Highland St",,"42.324806","-71.097572",,,,
"1141","1141","Centre St @ Marcella St",,"42.326103","-71.096512",,,,
"11413","11413","Columbus Ave @ Walnut Ave",,"42.313297","-71.095322",,,,
"11419","11419","A St @ Mt Washington Ave",,"42.346355","-71.051613",,,,
"1142","1142","Centre St @ Cedar St",,"42.327793","-71.09552",,,,
"1143","1143","Centre St @ Linwood St",,"42.328609","-71.094978",,,,
"1144","1144","Centre St @ Highland Ave",,"42.32967","-71.093033",,,,
"1145","1145","42A John Eliot Sq",,"42.329975","-71.091545",,,,
"1146","1146","42 Dudley St",,"42.329411","-71.089127",,,,
"1147","1147","Dudley St @ Shawmut Ave",,"42.328983","-71.086205",,,,
"11478","11478","58 Hancock St opp Glendale St",,"42.313496","-71.065094",,,,
"1148","1148","Malcolm X Blvd @ Shawmut Ave",,"42.329697","-71.086128",,,,
"11481","11481","Herald St @ Harrison Ave",,"42.346313","-71.063362",,,,
"11482","11482","Dudley St @ Clifton St",,"42.318798","-71.069138",,,,
"1149","1149","205 Roxbury St",,"42.330109","-71.091339",,,,
"1150","1150","Centre St @ Gardner St",,"42.329399","-71.094101",,,,
"11501","11501","Dudley St @ Monadnock St",,"42.318001","-71.067413",,,,
"1151","1151","Centre St @ Cedar St",,"42.32756","-71.09581",,,,
"11511","11511","Sleeper St @ Seaport Blvd",,"42.353825","-71.048576",,,,
"11512","11512","Bowdoin opp Mt Ida",,"42.307232","-71.066002",,,,
"11519","11519","A St opp Wormwood St",,"42.346977","-71.051163",,,,
"1152","1152","Centre St @ New Heath St",,"42.326065","-71.096664",,,,
"11520","11520","Park dr @ Fenway Sta",,"42.343918","-71.103279",,,,
"11521","11521","131 Morton St",,"42.300148","-71.106422",,,,
"1153","1153","Centre St @ Columbus Ave",,"42.324932","-71.098106",,,,
"11531","11531","Jackson Sq Station @ Orange Line",,"42.323132","-71.099592",,,,"place-jaksn"
"11532","11532","W Broadway @ Linsky Barry Ct",,"42.339687","-71.052299",,,,
"1154","1154","Heath St @ Bromley St",,"42.325378","-71.099579",,,,
"11545","11545","Lee St @ Boylston St",,"42.325821","-71.140472",,,,
"1155","1155","Centre St @ Bickford St",,"42.322964","-71.102272",,,,
"1156","1156","Centre St @ Sunnyside St",,"42.322689","-71.105713",,,,
"1158","1158","Centre St @ Creighton St",,"42.32238","-71.108658",,,,
"11587","11587","Circuit Dr @ Glen Ln",,"42.302345","-71.087303",,,,
"1159","1159","Centre St @ Barbara St",,"42.321106","-71.110542",,,,
"11592","11592","Ruggles St @ Cabot St",,"42.333878","-71.087173",,,,
"11593","11593","Ruggles St opp Kerr Way",,"42.333199","-71.086014",,,,
"1160","1160","S Huntington Ave @ Moraine St",,"42.319633","-71.111725",,,,
"11609","11609","Centre St @ S Huntington Ave",,"42.320099","-71.111336",,,,
"1161","1161","Centre St @ Lochstead Ave",,"42.317379","-71.113228",,,,
"11613","11613","W Boundary Rd @ Washington St",,"42.267445","-71.149986",,,,
"1162","1162","Centre St @ Lakeville Rd",,"42.31588","-71.114128",,,,
"1164","1164","Centre St @ Myrtle St",,"42.31332","-71.114159",,,,
"1165","1165","Washington St @ W Walnut Pk",,"42.316322","-71.097702",,,,
"1166","1166","Washington St @ Cobden St",,"42.317593","-71.096451",,,,
"1167","1167","Washington St opp Dimock St",,"42.318913","-71.095139",,,,
"11673","11673","209 Cambridge St",,"42.453011","-71.157951",,,,
"1168","1168","Washington St @ Townsend St",,"42.319973","-71.094063",,,,
"11689","11689","Mall Rd opp NE Ececutive Pk",,"42.48592","-71.211731",,,,
"1169","1169","Washington St @ Brinton St",,"42.320843","-71.092972",,,,
"11694","11694","S Bedford St @ Wayside Rd",,"42.484211","-71.194916",,,,
"117","117","Congress St @ Haymarket  Sta",,"42.363021","-71.05829",,,,"place-haecl"
"1170","1170","Washington St @ ML King Blvd",,"42.321762","-71.091751",,,,
"11708","11708","Blue Hill Ave opp Westview St",,"42.291332","-71.089317",,,,
"11712","11712","Blue Hill Ave @ Morton St",,"42.284145","-71.091713",,,,
"11716","11716","Blue Hill Ave @ Tennis Rd",,"42.275333","-71.093758",,,,
"11719","11719","Blue Hill Ave opp Babson St",,"42.270222","-71.093887",,,,
"1172","1172","Washington St @ Dale St",,"42.323364","-71.089561",,,,
"1173","1173","Washington St opp Cedar St",,"42.324116","-71.088806",,,,
"11735","11735","Ames St @ Franklin Field Housing",,"42.289776","-71.083847",,,,
"11736","11736","Ames St @ Westview St",,"42.290581","-71.086517",,,,
"1174","1174","Washington St @ Circuit Terr",,"42.32584","-71.087769",,,,
"1175","1175","Washington St @ St James St",,"42.32729","-71.087151",,,,
"1176","1176","Washington St @ Dudley St",,"42.328804","-71.085167",,,,
"11771","11771","Vassar St @ Mass Ave",,"42.360245","-71.09481",,,,
"1178","1178","Washington St @ Bartlett St",,"42.327652","-71.08712",,,,
"11780","11780","Ave Louis Pasteur @ Longwood Ave",,"42.338455","-71.102234",,,,
"11781","11781","Ave Louis Pasteur @ The Fenway",,"42.340248","-71.100838",,,,
"1179","1179","Washington St @ Guild St",,"42.32605","-71.087807",,,,
"11792","11792","Harrison Ave @ Melnea Cass Blvd",,"42.332146","-71.07933",,,,
"11799","11799","Ave Louis Pasteur @ The Fenway",,"42.340286","-71.100975",,,,
"1180","1180","Washington St @ Cedar St",,"42.324322","-71.088776",,,,
"11802","11802","Ave Louis Pasteur @ Longwood Ave",,"42.338501","-71.102341",,,,
"11803","11803","Longwood Ave @ Binney St",,"42.338211","-71.105934",,,,
"11809","11809","Mountfort St @ Carlton St",,"42.348751","-71.108742",,,,
"1181","1181","Washington St @ Oakland St",,"42.323475","-71.0896",,,,
"1182","1182","Washington St @ Valentine St",,"42.321785","-71.091896",,,,
"1183","1183","Washington St @ Marcella St",,"42.320866","-71.093124",,,,
"11835","11835","Chestnut Hill Ave opp Buckminster Rd",,"42.332329","-71.14679",,,,
"11836","11836","145 Grove St opp Bellingham Rd",,"42.304482","-71.150101",,,,
"11837","11837","Grove St @ South St",,"42.30265","-71.15226",,,,
"11839","11839","Corey St @ LaGrange St",,"42.3004","-71.169861",,,,
"1184","1184","Washington St opp Townsend St",,"42.320168","-71.094002",,,,
"11845","11845","Chestnut Hill Ave @ Ackers Ave",,"42.329987","-71.146011",,,,
"1185","1185","Washington St @ Dimock St",,"42.31892","-71.095291",,,,
"11853","11853","Chestnut St opp Oak St",,"42.277039","-71.237373",,,,
"1186","1186","Washington St @ Bragdon St",,"42.317429","-71.096771",,,,
"11860","11860","Robert St @ Belgrade Ave",,"42.286762","-71.131088",,,,
"11868","11868","5 Walter St opp Hewlett St",,"42.289165","-71.133827",,,,
"1187","1187","Washington St @ Columbus Ave",,"42.316315","-71.097855",,,,
"1188","1188","1990 Columbus Ave",,"42.315407","-71.097816",,,,
"1189","1189","Cambridge St @ Mass Pike",,"42.360821","-71.118668",,,,
"11891","11891","Pearl St @ Congress St",,"42.357624","-71.056313",,,,
"1190","1190","Cambridge St @ Seattle St",,"42.358906","-71.123856",,,,
"1191","1191","Cambridge St @ N Harvard St",,"42.357952","-71.126701",,,,
"11917","11917","Chestnut Hill Ave @ Buckminster Rd",,"42.332428","-71.146721",,,,
"1192","1192","Cambridge St opp Linden St",,"42.356205","-71.131363",,,,
"1193","1193","Cambridge St @ Franklin St",,"42.355606","-71.132675",,,,
"11939","11939","Centre St @ Eliot St",,"42.309666","-71.115761",,,,
